Row Labels,Z Score Bank,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)","Average working hours of children, working only, ages 7-14 (hours per week)",Bribery incidence (% of firms experiencing at least one bribe payment request),Business extent of disclosure index (0=less disclosure to 10=more disclosure),"Central government debt, total (% of GDP)","Compulsory education, duration (years)",Control of Corruption: Percentile Rank,Coverage of social insurance programs in poorest quintile (% of population),Coverage of social safety net programs (% of population),"Survival to age 65, female (% of cohort)",Technicians in R&D (per million people),Time required to start a business (days)
Ireland,10.9863,99.66,99.53,99.8,99.29,100,100,0,0.4,9,70.00477901,10,93.86792755,0,0,93.042661,0,11
Israel,29.30272,92.93,91.93,93.97,89.02,62.76,71.05,0,0,7,0,15,80,0,0,93.913789,0,11
Italy,13.16945,97.29,97.09,97.48,94.79,97.25,82.77,0,11.8,7,0,12,68.86792755,0,0,94.055219,0,11
Jamaica,15.47712,73.3,71.55,75.11,67.69,59.94,75.36,0,0,4,106.282373,6,53.80952454,0,0,79.916115,0,3
Japan,12.85732,98.49,98.84,98.12,98.47,94.1,90.23,0,0,7,216.3293649,9,90.95237732,0,0,94.569141,0,11.2
Jordan,50.10564,47.12,34.06,58.6,37.01,38.71,28.69,0,2.5,4,100.9082831,10,58.57143021,0,0,89.132172,0,12.5
Kazakhstan,2.950683,81.11,83.63,78.29,82.08,61.88,73.55,0,11.6,9,23.7157605,9,48.58490753,0,0,85.488133,0,5
Kenya,23.23094,79.2,75.36,83.24,67.45,61.02,78.91,0,0,10,0,12,26.19047546,0,0,61.55462,0,23
"Korea, Rep.",10.19327,98.67,98.68,98.66,96.89,95.56,98.57,0,0,8,51.17913232,9,79.71697998,0,0,96.123595,0,8
Kuwait,16.57787,0,0,0,0,0,0,0,0,5,0,9,60.37735748,0,0,94.200936,0,19.4
Kyrgyz Republic,14.62098,45.09,43.76,46.54,44.09,28.94,36.24,0,31.4,7,67.95622229,10,17.1428566,49.92456455,10.61720868,83.671414,0,10
Lao PDR,19.47947,37.32,37.85,36.75,22.8,28.72,26.38,0,0,6,0,9,19.81132126,0,0,76.463452,0,173
Latvia,7.114153,96.62,97.55,95.51,94.06,90.98,94.33,0,2,5,0,11,76.19047546,0,0,87.363545,0,5.5
Lebanon,20.1897,20.7,16.59,24.65,12.85,15.51,7.87,0,21.8,9,0,10,14.15094376,0,0,89.796082,0,15
Lesotho,16.92211,63.63,62.37,65.05,58.64,55.49,61.8,0,7.3,3,32.16703189,7,51.42856979,0,0,49.357239,0,15
Liberia,9.723547,51.63,44.2,59.34,42.1,42.85,54,0,0,4,0,6,20.75471687,0,0,61.502448,0,18
Lithuania,5.122434,93.53,90.38,96.99,91.33,74.08,92.02,0,0.2,7,52.45243437,11,79.52381134,0,0,88.670056,0,5.5
Luxembourg,51.66831,0,0,0,0,0,0,0,0,6,0,12,97.61904907,0,0,92.554041,0,16.5
"Macao SAR, China",20.2597,0,0,0,0,0,0,0,0,0,0,10,79.71697998,0,0,95.794194,0,0
Malawi,14.50642,42.71,38.14,47.75,33.09,33.32,34.79,0,0,4,55.599212,8,44.2857132,0.359768378,37.68176216,70.76417,0,37
Malaysia,20.71885,88.37,87.51,89.23,82.98,71.67,74.27,0,0.4,10,63.26683667,6,62.26415253,0,0,86.017692,0,17.5
Malta,18.40884,96.45,95.33,97.57,93.35,93.37,94.44,0,2.4,3,0,11,62.8571434,0,0,92.807496,0,20.5
Mauritius,10.95238,90.53,89.4,91.74,90.55,85.18,83.62,0,5.7,7,57.96166043,12,65.56604004,0,0,85.121873,0,4.5
Mexico,23.75342,48.97,42.3,56.27,32.07,31.79,50.04,0,15.8,8,45.83734642,14,19.52380943,5.272360819,37.54508738,83.960793,0,8.4
Moldova,8.722918,64.25,62.92,65.7,54.43,39.95,63.88,0,11.9,7,34.52131787,13,46.69811249,0,0,83.539976,0,4
Mongolia,36.25018,98.46,98.97,97.89,98.29,96.53,95.45,0,24.7,6,73.93678352,12,37.1428566,0,0,83.016925,0,12
Montenegro,8.927644,0,0,0,0,0,0,0,21.4,5,0,9,54.76190567,0,0,88.705654,0,12
Morocco,42.40052,44.37,32.7,55.97,33.93,36.91,35.9,0,29.6,9,0,9,41.42856979,0,0,86.611351,0,9
Mozambique,7.062472,49.49,38.69,61,34.48,39.11,49.43,0,0,5,101.3909318,0,24.76190567,0,0,68.419986,0,17
Myanmar,7.594283,47.79,46.15,49.52,32.99,26.25,55.68,0,0,4,0,5,30,0,0,74.30879,0,7
Namibia,23.72112,71.35,69.31,73.67,56.38,61.29,55.61,0,0,5,0,7,62.8571434,0,0,65.976025,0,54
Nepal,28.87113,54,49.9,58.61,44.55,51,42.23,0,6.2,6,39.92226864,9,33.96226501,0,0,76.872815,0,22.5
Netherlands,13.0423,99.73,99.47,100,99.33,100,98.18,0,0.3,4,0,13,97.14286041,0,0,92.390504,0,3.5
New Zealand,44.78266,98.75,99.24,98.23,96.87,96.53,94.46,0,4,10,54.56667223,10,100,0,0,92.227998,0,0.5
Nicaragua,25.13264,26.03,21.57,30.94,21.36,18.14,29.56,0,0,1,0,7,15.71428585,0,0,83.875856,0,14
