Series Name,Series Code,Country Name,Country Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Bank Z-score,GFDD.SI.01,Colombia,COL,..,..,..,2.12443,3.436928,3.660304,4.210145,4.887276,5.189034,4.877285,..,..,..,5.984405,5.447982,5.837483,..,..,6.413251,6.471997,5.932585,6.019376,6.134324,5.253978,4.320385
Bank Z-score,GFDD.SI.01,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,"Congo, Dem. Rep.",COD,..,..,..,18.37744,7.816836,..,8.58812,6.300542,9.077308,10.33286,9.697912,9.838428,9.203094,10.61609,11.77969,9.916953,9.771398,10.6012,8.892292,7.481957,7.104617,8.548488,7.424381,5.636406,..
Bank Z-score,GFDD.SI.01,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Costa Rica,CRI,..,..,..,20.83077,20.55849,20.52114,21.37616,19.20137,19.51401,20.92518,20.06151,20.35137,19.73983,21.14773,21.45408,21.49812,20.18664,17.49226,17.436,20.19376,18.72457,19.15008,20.40005,18.81415,19.60885
Bank Z-score,GFDD.SI.01,Cote d'Ivoire,CIV,..,..,..,17.31451,17.50802,18.82406,21.22235,23.08921,22.12253,22.19983,21.32199,19.71332,23.52496,20.50408,19.43423,17.64459,17.57693,16.24919,16.3723,16.23994,16.31917,16.5086,17.51922,16.94303,19.02191
Bank Z-score,GFDD.SI.01,Croatia,HRV,..,..,..,6.617574,5.057924,5.536661,5.092443,5.082476,5.325206,5.564413,7.2681,7.795281,7.754302,7.730999,7.637905,7.861647,7.394768,7.605237,6.566321,8.026342,8.239655,7.880998,7.937998,7.289279,7.392629
Bank Z-score,GFDD.SI.01,Cuba,CUB,..,..,..,14.22871,17.18844,18.7852,19.20073,4.686736,7.419569,8.887595,8.456803,11.88312,..,..,..,..,..,..,22.1516,19.88058,18.41802,18.59676,19.55267,22.44986,..
Bank Z-score,GFDD.SI.01,Curaçao,CUW,..,..,..,14.89204,..,12.56312,14.70915,12.71737,10.35204,9.755342,7.661104,8.246242,9.720806,10.73049,11.30552,8.28106,7.078376,11.19544,12.06164,11.69734,9.513255,10.97103,11.20895,10.57251,11.01254
Bank Z-score,GFDD.SI.01,Cyprus,CYP,..,..,..,9.54219,7.832068,9.291947,7.933188,6.805026,5.759692,5.728607,10.40343,10.2144,8.482056,8.160662,1.576496,8.428222,9.23225,8.272057,8.268928,9.832859,7.110081,7.88143,8.028267,7.120387,6.074417
Bank Z-score,GFDD.SI.01,Czech Republic,CZE,..,..,..,8.341993,7.225732,8.982721,9.696417,10.7916,10.31883,9.850649,8.266711,10.02288,10.8644,11.02247,10.76262,12.21091,11.67634,12.24763,12.14578,11.56156,10.4291,10.2291,10.83713,10.51501,10.34125
Bank Z-score,GFDD.SI.01,Denmark,DNK,..,..,..,20.06971,18.58212,17.68398,18.5837,18.52977,17.12807,18.07074,15.60151,11.38008,12.24932,13.78698,14.58393,16.10142,18.28209,18.40098,24.38521,..,..,25.77088,25.57506,22.6822,26.42471
Bank Z-score,GFDD.SI.01,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,11.23716,9.134362,11.45902,15.9094,17.0551,13.68825,11.8607,..,10.34672,13.12097,16.97244,..,..
Bank Z-score,GFDD.SI.01,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
