Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],Max
"Korea, Rep.",KOR,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,9
"Korea, Rep.",KOR,Control of Corruption: Percentile Rank,CC.PER.RNK,75.23809814,75.23809814,76.66666412,76.88679504,79.71697998,79.71697998
"Korea, Rep.",KOR,Coverage of social safety net programs (% of population),per_sa_allsa.cov_pop_tot,,,,,,0
"Korea, Rep.",KOR,Coverage of social insurance programs in poorest quintile (% of population),per_si_allsi.cov_q1_tot,,,,,,0
"Korea, Rep.",KOR,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,96.123595,95.036582,95.300613,94.590854,,96.123595
"Korea, Rep.",KOR,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,0
"Korea, Rep.",KOR,Time required to start a business (days),IC.REG.DURS,8,,,,,8
Kuwait,KWT,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,,,,,,0
Kuwait,KWT,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,,,,,,0
Kuwait,KWT,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,,,,,,0
Kuwait,KWT,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,,,,,,0
Kuwait,KWT,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,,,,,,0
Kuwait,KWT,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,,,,,,0
Kuwait,KWT,"Average working hours of children, working only, ages 7-14 (hours per week)",SL.TLF.0714.WK.TM,,,,,,0
Kuwait,KWT,Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS,,,,,,0
Kuwait,KWT,Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ,5,,,,,5
Kuwait,KWT,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,0
Kuwait,KWT,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,9
Kuwait,KWT,Control of Corruption: Percentile Rank,CC.PER.RNK,50,52.38095093,51.90476227,58.96226501,60.37735748,60.37735748
Kuwait,KWT,Coverage of social safety net programs (% of population),per_sa_allsa.cov_pop_tot,,,,,,0
Kuwait,KWT,Coverage of social insurance programs in poorest quintile (% of population),per_si_allsi.cov_q1_tot,,,,,,0
