Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Bank Z-score,GFDD.SI.01,Denmark,DNK,..,20.06971,16.10142,18.28209,18.40098,24.38521,..,..,25.77088,25.57506,22.6822,26.42471
Bank Z-score,GFDD.SI.01,Djibouti,DJI,..,..,15.9094,17.0551,13.68825,11.8607,..,10.34672,13.12097,16.97244,..,..
Bank Z-score,GFDD.SI.01,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Dominican Republic,DOM,..,32.974,33.06392,32.09081,31.62562,36.20605,38.14822,34.46243,34.36922,34.62232,31.06544,32.58395
Bank Z-score,GFDD.SI.01,Ecuador,ECU,..,5.890882,10.94596,10.14678,10.07726,11.11825,10.61249,11.06853,10.69763,10.8558,9.297792,9.514566
Bank Z-score,GFDD.SI.01,"Egypt, Arab Rep.",EGY,..,15.10386,20.00707,20.85235,21.54306,21.43956,19.92265,21.54849,20.86885,23.47762,22.12914,20.59571
Bank Z-score,GFDD.SI.01,El Salvador,SLV,..,15.62581,26.77973,26.22984,24.32444,22.07014,20.30752,21.02519,20.48226,20.60951,19.58387,20.56678
Bank Z-score,GFDD.SI.01,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Estonia,EST,..,11.10543,11.60134,13.33931,12.67973,12.61989,9.927593,9.926767,9.10916,8.922285,8.281074,8.421521
Bank Z-score,GFDD.SI.01,Eswatini,SWZ,..,..,25.19922,22.00786,23.63356,24.72169,24.39738,24.12191,22.89897,24.41746,..,..
Bank Z-score,GFDD.SI.01,Ethiopia,ETH,..,8.656344,12.38283,10.14572,8.62554,8.840451,8.479112,11.29838,9.96612,9.928329,9.03286,11.55515
Bank Z-score,GFDD.SI.01,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Fiji,FJI,..,..,..,..,..,26.31531,27.55059,27.2409,28.90173,31.69231,28.73934,33.01206
Bank Z-score,GFDD.SI.01,Finland,FIN,..,13.11089,8.522068,9.557652,9.067446,11.05559,15.04451,13.97095,17.20489,16.28398,17.83522,17.11392
Bank Z-score,GFDD.SI.01,France,FRA,..,19.75932,16.91441,19.35971,16.62016,18.60366,19.79079,20.00664,19.20898,19.79179,18.992,19.97747
Bank Z-score,GFDD.SI.01,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Gabon,GAB,..,..,17.34224,21.20304,14.75315,12.30445,15.34644,15.17335,16.20967,16.63204,..,..
Bank Z-score,GFDD.SI.01,"Gambia, The",GMB,..,..,..,..,..,13.49336,13.95776,13.87274,14.03069,13.33075,10.93436,..
Bank Z-score,GFDD.SI.01,Georgia,GEO,..,12.13904,9.618122,10.5402,10.48764,7.856631,7.087701,7.838501,7.368607,7.351558,6.229876,7.905212
Bank Z-score,GFDD.SI.01,Germany,DEU,..,15.08377,12.77894,15.58472,16.60348,16.08827,16.76427,18.60744,22.48842,16.76535,15.46659,16.04881
Bank Z-score,GFDD.SI.01,Ghana,GHA,..,..,13.40157,14.68872,13.386,13.37064,12.63036,13.94477,13.92056,14.12575,14.15553,13.92242
Bank Z-score,GFDD.SI.01,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Greece,GRC,..,..,2.27715,7.468579,5.429644,5.945258,7.967101,9.335051,7.744936,7.77626,7.356091,6.641998
Bank Z-score,GFDD.SI.01,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Guatemala,GTM,..,27.90404,29.66189,30.36126,30.54368,30.32703,29.15103,30.12516,30.28761,31.63215,29.76083,30.71606
Bank Z-score,GFDD.SI.01,Guinea,GIN,..,..,23.34181,24.32562,..,23.25316,27.55684,27.94649,26.72409,26.6458,25.43583,..
Bank Z-score,GFDD.SI.01,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Guyana,GUY,..,16.90548,21.20683,21.45928,23.95271,28.44514,27.6426,29.58506,29.90983,29.48428,27.29902,26.12195
Bank Z-score,GFDD.SI.01,Haiti,HTI,..,..,11.10097,12.03902,12.30199,11.69901,14.86317,16.87527,12.95728,12.23497,13.172,11.54701
Bank Z-score,GFDD.SI.01,Honduras,HND,..,27.80569,29.45166,28.76967,28.98955,33.64914,34.15448,32.48211,31.68338,31.60967,27.60089,28.60143
Bank Z-score,GFDD.SI.01,"Hong Kong SAR, China",HKG,..,28.18801,15.40095,18.59706,18.38844,21.06087,19.90074,20.23917,20.58956,20.99495,20.07034,19.74722
Bank Z-score,GFDD.SI.01,Hungary,HUN,..,5.955592,7.459937,8.120221,6.695463,8.316404,9.585453,9.697723,9.478704,9.339087,7.338471,7.074254
Bank Z-score,GFDD.SI.01,Iceland,ISL,..,0.4460764,1.373734,1.44737,1.604244,5.466418,1.665123,1.555702,1.348341,1.302398,1.22992,1.276241
Bank Z-score,GFDD.SI.01,India,IND,..,12.8874,17.02201,17.16692,16.44565,16.17971,17.14082,15.45114,16.4891,17.56805,19.00172,19.43808
Bank Z-score,GFDD.SI.01,Indonesia,IDN,..,2.127169,4.466622,4.511139,4.607392,4.737085,5.101857,5.249229,5.272263,5.495973,4.944037,5.274584
Bank Z-score,GFDD.SI.01,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Iraq,IRQ,..,..,19.23451,24.16522,24.77637,15.28461,19.44309,19.81134,17.83978,15.62685,13.96709,37.25005
Bank Z-score,GFDD.SI.01,Ireland,IRL,..,2.883734,6.780249,6.858834,10.70941,16.06367,14.43176,14.6578,15.39093,15.26282,11.42363,10.9863
Bank Z-score,GFDD.SI.01,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Israel,ISR,..,26.13298,31.12056,32.07264,31.43754,29.72975,30.28489,31.23741,32.04547,32.36272,28.46502,29.30272
Bank Z-score,GFDD.SI.01,Italy,ITA,..,11.04384,13.69699,10.923,12.98474,14.51827,11.89046,15.72168,14.28886,13.60503,11.82571,13.16945
Bank Z-score,GFDD.SI.01,Jamaica,JAM,..,..,19.91226,17.7556,18.18909,20.69767,18.98878,17.78896,17.92842,18.18927,17.06366,15.47712
Bank Z-score,GFDD.SI.01,Japan,JPN,..,15.58677,16.07545,17.22339,17.33325,17.35316,16.86931,16.95478,16.26689,14.27734,14.28424,12.85732
Bank Z-score,GFDD.SI.01,Jordan,JOR,..,29.47083,61.39158,62.43721,55.66782,54.55595,56.04966,55.93142,55.21555,54.2682,50.48962,50.10564
Bank Z-score,GFDD.SI.01,Kazakhstan,KAZ,..,3.638269,2.888314,2.447769,2.330827,2.022221,2.061025,2.127621,2.589877,3.061974,2.811964,2.950683
Bank Z-score,GFDD.SI.01,Kenya,KEN,..,16.15675,22.17769,22.99755,25.37654,21.19606,23.69231,24.62016,23.96219,24.18792,21.51275,23.23094
Bank Z-score,GFDD.SI.01,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,"Korea, Dem. Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,"Korea, Rep.",KOR,..,7.188823,11.91095,11.80614,11.51376,10.98631,11.16038,11.6591,11.44263,11.27304,10.48836,10.19327
Bank Z-score,GFDD.SI.01,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Kuwait,KWT,..,15.09553,18.24903,16.96409,15.78601,16.55494,16.71043,16.65886,17.17954,17.63516,16.10375,16.57787
